Region,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
North of Scotland,C50,Breast,Male, ,2015-2019,0,0,0,0,0,0,0,0,0,0,3,4,6,4,7,7,2,5,0,38,0,0,0,0,0,0,0,0,0,0,1.17507892613454,1.64373654190706,2.73018906559279,1.9133446220666,4.15001719292837,5.89513398797393,2.47635084938834,11.614941460695,0,1.10435003478703,.781503812192958,1.51580670501066,1.13758281051312,.80335341539596, ,1.52903765689087, ,.48630844231273,.336993725354773, ,.66257641298052, ,102.092389922778,72.246651339969,140.129781591715
North of Scotland,C50,Breast,Female, ,2015-2019,0,0,0,1,5,18,65,154,281,465,798,674,778,907,616,547,413,295,181,6198,0,0,0,.55505600515092,2.37509381620574,8.17750640571335,29.3274979132357,72.8228796247257,133.008307102454,187.729362890951,300.446151239623,269.807211938769,345.498308035278,418.835111958735,334.243096740587,383.622745252055,377.048432008034,420.251866203202,432.776223609019,175.085141435348,170.753111906942,179.49928220502,164.568554610319,160.478951105152, ,168.708898211984, ,92.9979987472496,90.4618850910808, ,95.5686852861657, ,97.6688723160646,95.2523083780245,100.131240896767
North of Scotland,D05,Carcinoma in situ of the breast,All,d,2015-2019,0,0,0,0,0,0,1,8,27,43,162,99,106,130,66,29,31,8,2,712,0,0,0,0,0,0,.22569746158065,1.89696177859136,6.47311260818489,8.89379771367349,31.099601272396,20.074783638443,23.8230620725615,30.5443233375077,18.6984199835114,11.097080319902,16.2901539156801,7.06439193246441,3.3358908496514,10.1992141448202,9.46371239730004,10.9766993048108,9.4539998563651,8.77050739132805, ,10.1627730022443, ,5.74411525615332,5.30844402622687, ,6.19672396859137, ,110.200870407096,102.253892178011,118.601472663602
North of Scotland,D05,Carcinoma in situ of the breast,Male, ,2015-2019,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.821868270953532,.455031510932132,0,0,0,0,0,0,.0871855290621336,.0179797521168821,.25479311367256,.0807233282679075, ,z, ,z,.0510759912754265, ,z, ,z,98.8528582266318,20.3858358844561,288.890000599135
North of Scotland,D05,Carcinoma in situ of the breast,Female, ,2015-2019,0,0,0,0,0,0,1,8,27,43,162,97,105,130,66,29,31,8,2,709,0,0,0,0,0,0,.451192275588242,3.78300673375199,12.780157621944,17.3599195791633,60.9928276952618,38.8298213027605,46.6289490278974,60.0314934450227,35.8117603650629,20.3383173899627,28.3014561555667,11.3966607783919,4.78205771943667,20.0282938492516,18.5809868072737,21.5583951289637,18.8272763844623,17.4632906506411, ,20.2418216923862, ,11.4371545210312,10.5677023586441, ,12.3404885725611, ,110.254425603068,102.287096594136,118.677531384267
North of Scotland,C18-C20,Colorectal cancer,All,d,2015-2019,0,0,1,9,8,11,27,43,57,132,293,362,586,776,898,825,785,516,225,5554,0,0,.277287133599714,2.41856165451116,1.84040470499463,2.41636096039365,6.09383146267754,10.1961695599286,13.6654599506125,27.3018906559279,56.2480442766175,73.4047644153169,131.701079004915,182.326114691585,254.411835533231,315.69280220411,412.508736251898,455.653279643955,375.287720585782,79.5596002251849,77.4808343810472,81.6800142544987,78.7029444963881,76.615367025588, ,80.8181911499934, ,33.2836111157904,32.3091961736193, ,34.2723008839794, ,103.590392403181,100.883740171406,106.351272557582
North of Scotland,C18-C20,Colorectal cancer,Male, ,2015-2019,0,0,1,4,2,6,9,25,27,71,159,207,355,462,498,435,410,236,101,3008,0,0,.542164102230463,2.08376745155241,.892184021876352,2.55195352041988,4.06437977564624,11.8903236546099,13.1166654521606,30.1120507578906,62.2791830851306,85.0633660436905,161.536186380907,220.991303848693,295.244080296904,366.340469252665,507.65192412461,548.225236944806,557.056974243009,87.4180238062993,84.3216464996835,90.5990329131096,92.1100156519399,88.797584666254, ,95.4822556314788, ,38.5313093543921,37.0462826814141, ,40.0451107284036, ,102.699038241984,99.061402002021,106.43610025373
North of Scotland,C18-C20,Colorectal cancer,Female, ,2015-2019,0,0,0,5,6,5,18,18,30,61,134,155,231,314,400,390,375,280,124,2546,0,0,0,2.7752800257546,2.85011257944689,2.2715295571426,8.12146096058835,8.51176515094197,14.2001751354933,24.626862658813,50.4508574763276,62.0476525971946,102.583687861374,144.99914570567,217.040971909472,273.515302830533,342.356324462501,398.883127243718,296.487578605074,71.9210664882858,69.1542483951661,74.7701919121649,65.2958733408363,62.7724527008837, ,67.8683244307768, ,28.0359128771887,26.782994213136, ,29.3170707920623, ,104.663638157972,100.637206656231,108.809847982045
North of Scotland,C18,Colon,All,d,2015-2019,0,0,1,9,5,6,20,32,28,85,186,213,382,538,631,609,569,394,179,3887,0,0,.277287133599714,2.41856165451116,1.15025294062164,1.31801506930563,4.51394923161299,7.58784711436545,6.71285751959915,17.5807629223778,35.7069496090473,43.1912011614986,85.8529218086648,126.406507350609,178.768227418117,233.038686717943,299.003147678128,347.921302673872,298.5622310438,55.6802603664555,53.9434481031882,57.4587574579036,54.9811036155251,53.2372175290094, ,56.7527015373537, ,22.5768379148282,21.78276121237, ,23.3849322174015, ,103.923283458569,100.681645722648,107.242722989713
North of Scotland,C18,Colon,Male, ,2015-2019,0,0,1,4,2,2,8,17,15,37,95,117,221,290,324,305,275,165,82,1960,0,0,.542164102230463,2.08376745155241,.892184021876352,.850651173473294,3.61278202279665,8.08542008513472,7.28703636231145,15.6921954653796,37.2108326609271,48.0792938507816,100.561963916001,138.717485099829,192.086510072685,256.859409476007,340.498241790897,383.293068202936,452.264078098285,56.961212320594,54.4671161611178,59.5400635701209,60.7146394460488,58.0102816777202, ,63.4797431541411, ,24.5556052293894,23.3814240863199, ,25.7581484630386, ,101.92462693479,97.4617686100174,106.539143389408
